,id,nuclear_id,nuclear_area,nuclear_avg,nuclear_stdev,number_nucleoli,nucleolar_area,nucleolar_avg,nucleolar_stdev,third_nucavg,third_nucstdev,third_nuclavg,third_nuclstdev
0,0,1,2410.0,1522.4232677001646,1455.7591194980444,2,26.0,4929.816547507608,755.623876621597,1296.417575080194,2285.92474539327,6297.444118772298,1026.1676948777415
1,1,1,2410.0,1522.4232677001646,1455.7591194980444,2,135.0,6465.998135865876,1627.5614789499912,1296.417575080194,2285.92474539327,9216.298213686478,2509.037985595064
2,2,2,3006.0,1556.9821590842548,1696.8273225450423,5,10.0,6076.138289681423,607.9147834926363,1403.7737214787717,2337.8354445346818,5458.711977154877,498.73511964059014
3,3,2,3006.0,1556.9821590842548,1696.8273225450423,5,29.0,7617.586641699785,1592.930798018092,1403.7737214787717,2337.8354445346818,9013.172039756373,1986.5152495578998
4,4,2,3006.0,1556.9821590842548,1696.8273225450423,5,23.0,7103.205879338083,1397.0996957929606,1403.7737214787717,2337.8354445346818,7795.831612424928,1204.3717662960955
5,5,2,3006.0,1556.9821590842548,1696.8273225450423,5,45.0,8300.075772666463,2188.6863493907804,1403.7737214787717,2337.8354445346818,10238.91942633608,2298.2801003390173
6,6,2,3006.0,1556.9821590842548,1696.8273225450423,5,43.0,7480.187678163549,1412.4431926585346,1403.7737214787717,2337.8354445346818,10737.195487902944,1921.58641396534
7,7,3,2534.0,1465.7585667839019,1284.6151667069269,3,14.0,5216.576031187532,418.7856844589656,1074.0745206479187,1620.4560954317947,5488.528614416494,376.3572355175467
8,8,3,2534.0,1465.7585667839019,1284.6151667069269,3,30.0,5654.349271023991,561.7929016379736,1074.0745206479187,1620.4560954317947,6002.631063168364,566.7570619663736
9,9,3,2534.0,1465.7585667839019,1284.6151667069269,3,58.0,6796.861304469269,1700.5385704223413,1074.0745206479187,1620.4560954317947,8102.969352749273,2237.631196504838
10,10,4,2084.0,1966.8676475071895,1477.5338333173904,4,29.0,5349.650547473469,968.4752956367416,2083.0689629054523,2916.6977298755046,8357.963086152578,1949.2960920288613
11,11,4,2084.0,1966.8676475071895,1477.5338333173904,4,7.0,4162.543071019215,159.43330458506958,2083.0689629054523,2916.6977298755046,5093.729857728719,379.71705988417864
12,12,4,2084.0,1966.8676475071895,1477.5338333173904,4,109.0,5484.609118233512,931.9646307234178,2083.0689629054523,2916.6977298755046,10399.304763788607,1503.4388108580088
13,13,4,2084.0,1966.8676475071895,1477.5338333173904,4,83.0,5587.9793101700125,1343.1205426124125,2083.0689629054523,2916.6977298755046,8265.934127499864,2147.9668627832234
14,14,5,2259.0,2145.047947087234,1920.5342228706004,5,20.0,7337.080454733901,1524.6338543026322,1991.6535497759699,3279.89396296508,12126.952120794389,3115.60150911852
15,15,5,2259.0,2145.047947087234,1920.5342228706004,5,7.0,4980.682668858113,153.73572974544078,1991.6535497759699,3279.89396296508,5375.040985287175,343.8026371138197
16,16,5,2259.0,2145.047947087234,1920.5342228706004,5,51.0,6153.727444424024,843.8132451998615,1991.6535497759699,3279.89396296508,10343.288293137655,1788.7625164686829
17,17,5,2259.0,2145.047947087234,1920.5342228706004,5,59.0,7911.3023043909125,2194.0777689814977,1991.6535497759699,3279.89396296508,10436.617337557489,3014.2408731901137
18,18,5,2259.0,2145.047947087234,1920.5342228706004,5,67.0,7979.225048995737,1761.9929715712703,1991.6535497759699,3279.89396296508,12014.465248061917,2634.282666910532
19,19,6,2327.0,1274.5204843780195,1428.6865183713296,2,31.0,5705.728019885256,1265.907392794147,1030.8263731998597,1600.3482685259041,5750.742780320232,1234.5495541866428
